"distance","choice","confidence","bias","experience"
"far","defendant",2,"no","no"
"near","plaintiff",7,"prosecutor","no"
"far","defendant",1,"no","no"
"far","plaintiff",2,"prosecutor","no"
"far","defendant",6,"no","no"
"near","defendant",2,"prosecutor","no"
"far","plaintiff",7,"prosecutor","yes"
"far","defendant",8,"defendant","no"
"far","defendant",5,"prosecutor","yes"
"near","defendant",5,"no","no"
"far","plaintiff",7,"prosecutor","no"
"far","plaintiff",3,"defendant","yes"
"far","defendant",7,"no","no"
"far","defendant",5,"defendant","no"
"far","plaintiff",5,"prosecutor","no"
"near","defendant",5,"prosecutor","no"
"near","defendant",6,"no","no"
"far","plaintiff",7,"no","no"
"far","plaintiff",6,"no","yes"
"near","defendant",5,"no","no"
"near","defendant",7,"no","no"
"far","defendant",6,"no","no"
"far","plaintiff",7,"prosecutor","no"
"far","defendant",1,"no","no"
"near","defendant",4,"prosecutor","no"
"near","defendant",7,"defendant","no"
"near","defendant",4,"defendant","no"
"near","plaintiff",1,"no","no"
"near","defendant",3,"no","no"
"near","plaintiff",7,"prosecutor","yes"
"near","plaintiff",5,"prosecutor","no"
"far","plaintiff",1,"no","no"
"near","plaintiff",3,"prosecutor","no"
"far","defendant",9,"defendant","no"
"far","plaintiff",6,"prosecutor","no"
"near","defendant",3,"prosecutor","no"
"near","defendant",3,"no","yes"
"far","plaintiff",4,"prosecutor","no"
"near","plaintiff",3,"prosecutor","no"
"far","defendant",7,"no","yes"
"near","plaintiff",1,"defendant","no"
"far","plaintiff",4,"no","no"
"far","defendant",6,"defendant","no"
"far","plaintiff",9,"prosecutor","yes"
"near","defendant",6,"defendant","no"
"far","defendant",8,"defendant","no"
"far","plaintiff",7,"no","no"
"far","plaintiff",6,"no","no"
"near","defendant",5,"prosecutor","no"
"near","defendant",9,"prosecutor","no"
"near","defendant",1,"prosecutor","no"
"near","plaintiff",3,"prosecutor","yes"
"far","defendant",3,"prosecutor","no"
"near","plaintiff",2,"no","yes"
"near","defendant",1,"prosecutor","no"
"far","defendant",1,"no","no"
"far","plaintiff",9,"prosecutor","no"
"far","plaintiff",6,"no","yes"
"near","plaintiff",8,"no","no"
"near","plaintiff",7,"prosecutor","yes"
"near","plaintiff",4,"defendant","no"
"near","defendant",5,"no","no"
"near","plaintiff",6,"no","no"
"far","defendant",5,"prosecutor","no"
"far","plaintiff",2,"no","no"
"far","plaintiff",1,"no","no"
"near","plaintiff",2,"no","no"
"near","defendant",2,"no","no"
"near","defendant",2,"prosecutor","no"
"near","plaintiff",3,"prosecutor","no"
"far","plaintiff",5,"prosecutor","no"
"near","plaintiff",2,"prosecutor","no"
"far","plaintiff",6,"no","no"
"near","defendant",2,"no","no"
"near","defendant",5,"no","no"
"far","plaintiff",2,"no","no"
"far","defendant",1,"no","no"
"far","defendant",6,"no","no"
"far","plaintiff",5,"no","no"
"far","plaintiff",6,"prosecutor","yes"
"far","plaintiff",3,"no","no"
"near","plaintiff",3,"prosecutor","no"
"near","plaintiff",2,"prosecutor","no"
"far","plaintiff",1,"defendant","no"
"near","defendant",5,"no","no"
"near","defendant",6,"no","no"
"far","plaintiff",7,"prosecutor","no"
"near","plaintiff",2,"no","no"
"near","plaintiff",7,"no","no"
"near","plaintiff",3,"prosecutor","no"
"near","plaintiff",7,"prosecutor","no"
"near","plaintiff",3,"defendant","no"
"far","plaintiff",6,"no","no"
"near","defendant",6,"defendant","no"
"far","plaintiff",7,"no","no"
"far","defendant",3,"defendant","no"
"near","defendant",6,"no","no"
"near","defendant",8,"no","no"
"near","defendant",6,"no","no"
"near","defendant",6,"prosecutor","no"
"near","plaintiff",7,"prosecutor","no"
"near","plaintiff",7,"no","no"
"far","plaintiff",6,"prosecutor","no"
"far","plaintiff",8,"prosecutor","no"
"far","plaintiff",5,"no","no"
"near","plaintiff",7,"prosecutor","no"
"far","defendant",6,"prosecutor","yes"
"near","defendant",5,"no","no"
"near","defendant",7,"prosecutor","no"
"near","defendant",1,"prosecutor","no"
"far","plaintiff",3,"prosecutor","no"
"far","plaintiff",6,"no","no"
"near","defendant",6,"no","no"
"far","plaintiff",5,"prosecutor","no"
"near","defendant",5,"defendant","yes"
"near","defendant",7,"defendant","yes"
"far","plaintiff",7,"no","yes"
