"distance","choice","confidence","bias","experience","room_orientation"
"near","defendant",3,"no","no","jury_left"
"near","plaintiff",7,"no","no","jury_left"
"near","defendant",7,"no","no","jury_right"
"far","plaintiff",7,"defendant","no","jury_left"
"near","defendant",9,"defendant","no","jury_right"
"near","defendant",3,"no","no","jury_left"
"far","defendant",3,"prosecutor","no","jury_left"
"far","defendant",7,"prosecutor","no","jury_left"
"near","defendant",1,"defendant","yes","jury_left"
"far","plaintiff",7,"prosecutor","no","jury_left"
"far","plaintiff",2,"prosecutor","no","jury_right"
"far","plaintiff",2,"no","no","jury_right"
"near","plaintiff",7,"defendant","no","jury_right"
"far","plaintiff",5,"prosecutor","no","jury_left"
"far","plaintiff",7,"prosecutor","no","jury_right"
"near","plaintiff",4,"prosecutor","no","jury_left"
"near","defendant",3,"no","no","jury_left"
"far","plaintiff",2,"no","no","jury_left"
"near","plaintiff",5,"prosecutor","no","jury_left"
"near","defendant",3,"defendant","no","jury_left"
"near","defendant",3,"prosecutor","no","jury_left"
"near","plaintiff",2,"prosecutor","no","jury_right"
"far","defendant",5,"no","no","jury_left"
"near","plaintiff",7,"no","yes","jury_right"
"far","plaintiff",6,"prosecutor","no","jury_left"
"near","plaintiff",6,"prosecutor","no","jury_left"
"near","defendant",6,"no","no","jury_left"
"near","defendant",6,"no","no","jury_left"
"near","plaintiff",6,"prosecutor","yes","jury_left"
"near","defendant",2,"prosecutor","no","jury_left"
"far","plaintiff",6,"prosecutor","no","jury_left"
"near","plaintiff",5,"no","no","jury_right"
"near","defendant",1,"no","no","jury_right"
"near","defendant",1,"no","no","jury_right"
"near","defendant",3,"no","no","jury_left"
"near","defendant",4,"defendant","no","jury_right"
"far","plaintiff",6,"no","no","jury_left"
"far","defendant",6,"no","no","jury_right"
"far","plaintiff",1,"no","no","jury_right"
"far","plaintiff",3,"prosecutor","no","jury_left"
"near","plaintiff",1,"prosecutor","no","jury_right"
"near","defendant",1,"prosecutor","no","jury_left"
"near","defendant",5,"no","no","jury_right"
"far","defendant",6,"prosecutor","no","jury_right"
"near","plaintiff",1,"no","no","jury_left"
"far","plaintiff",5,"prosecutor","no","jury_right"
"far","plaintiff",1,"no","no","jury_left"
"far","plaintiff",4,"prosecutor","no","jury_right"
"near","plaintiff",3,"defendant","no","jury_left"
"near","defendant",3,"defendant","no","jury_left"
"near","defendant",9,"no","no","jury_right"
"far","plaintiff",7,"defendant","no","jury_right"
"far","plaintiff",3,"prosecutor","no","jury_right"
"near","defendant",6,"prosecutor","no","jury_right"
"near","defendant",6,"defendant","no","jury_right"
"far","plaintiff",5,"prosecutor","no","jury_right"
"far","plaintiff",2,"no","no","jury_left"
"far","plaintiff",5,"prosecutor","no","jury_left"
"near","defendant",6,"prosecutor","no","jury_left"
"far","plaintiff",8,"prosecutor","no","jury_left"
"far","defendant",2,"defendant","no","jury_right"
"far","plaintiff",5,"no","no","jury_left"
"near","plaintiff",3,"no","no","jury_right"
"near","defendant",5,"prosecutor","no","jury_right"
"far","defendant",5,"no","yes","jury_right"
"near","defendant",6,"no","no","jury_left"
"far","plaintiff",4,"prosecutor","no","jury_left"
"far","plaintiff",7,"defendant","no","jury_right"
"near","defendant",7,"prosecutor","no","jury_left"
"near","plaintiff",5,"no","no","jury_left"
"near","defendant",6,"defendant","no","jury_right"
"near","plaintiff",5,"no","no","jury_right"
"far","plaintiff",6,"prosecutor","no","jury_right"
"far","plaintiff",3,"no","no","jury_right"
"far","plaintiff",8,"prosecutor","no","jury_left"
"far","defendant",7,"defendant","yes","jury_left"
"far","plaintiff",7,"prosecutor","yes","jury_left"
"far","defendant",6,"no","no","jury_left"
"near","defendant",3,"no","yes","jury_left"
"near","plaintiff",1,"no","no","jury_left"
"far","plaintiff",4,"no","no","jury_left"
"near","defendant",5,"defendant","no","jury_left"
"near","plaintiff",6,"no","no","jury_right"
"near","defendant",6,"no","no","jury_right"
"near","plaintiff",5,"no","no","jury_left"
"near","defendant",4,"no","no","jury_left"
"near","defendant",5,"no","no","jury_left"
"near","plaintiff",7,"prosecutor","no","jury_right"
"far","plaintiff",3,"no","no","jury_left"
"far","plaintiff",8,"no","no","jury_right"
"near","defendant",5,"no","no","jury_left"
"far","defendant",2,"prosecutor","no","jury_right"
"far","defendant",6,"prosecutor","no","jury_left"
"near","defendant",6,"prosecutor","no","jury_right"
"far","defendant",3,"no","no","jury_right"
"near","plaintiff",5,"prosecutor","no","jury_right"
"near","plaintiff",4,"prosecutor","no","jury_right"
"far","plaintiff",5,"prosecutor","yes","jury_left"
"near","plaintiff",6,"prosecutor","no","jury_right"
"near","defendant",2,"no","no","jury_right"
"near","defendant",6,"no","no","jury_right"
"far","plaintiff",4,"prosecutor","yes","jury_left"
