"distance","choice","confidence","bias","experience","language_perspective","language_evidence"
"far","defendant",1,"no","no","defendant","weak"
"near","plaintiff",6,"no","no","prosecutor","weak"
"near","plaintiff",6,"no","no","prosecutor","strong"
"near","defendant",7,"no","no","defendant","strong"
"near","defendant",1,"prosecutor","yes","defendant","strong"
"near","defendant",6,"no","yes","defendant","weak"
"near","defendant",9,"no","no","defendant","weak"
"near","defendant",2,"no","no","defendant","weak"
"far","plaintiff",2,"prosecutor","yes","prosecutor","weak"
"near","plaintiff",6,"prosecutor","no","prosecutor","weak"
"far","defendant",5,"no","no","defendant","strong"
"far","plaintiff",5,"prosecutor","no","defendant","strong"
"far","plaintiff",6,"no","no","prosecutor","strong"
"far","plaintiff",4,"no","no","prosecutor","weak"
"near","plaintiff",3,"defendant","yes","defendant","weak"
"far","plaintiff",7,"defendant","no","defendant","strong"
"far","defendant",9,"prosecutor","no","defendant","weak"
"near","defendant",4,"no","no","prosecutor","strong"
"near","defendant",5,"defendant","no","defendant","weak"
"far","plaintiff",5,"prosecutor","no","prosecutor","weak"
"far","plaintiff",1,"no","yes","prosecutor","weak"
"near","defendant",9,"defendant","no","defendant","strong"
"far","plaintiff",6,"no","no","prosecutor","strong"
"near","defendant",1,"prosecutor","no","prosecutor","strong"
"near","defendant",6,"prosecutor","no","prosecutor","weak"
"near","plaintiff",7,"no","no","prosecutor","weak"
"far","plaintiff",7,"prosecutor","no","prosecutor","strong"
"far","plaintiff",6,"prosecutor","no","prosecutor","strong"
"far","plaintiff",7,"prosecutor","no","prosecutor","strong"
"far","defendant",6,"no","yes","defendant","strong"
"near","plaintiff",6,"prosecutor","no","defendant","strong"
"near","defendant",5,"prosecutor","no","defendant","strong"
"far","plaintiff",6,"no","no","prosecutor","weak"
"far","plaintiff",3,"prosecutor","no","prosecutor","weak"
"far","defendant",6,"no","no","defendant","strong"
"far","plaintiff",6,"no","no","prosecutor","weak"
"near","defendant",5,"prosecutor","no","defendant","strong"
"near","defendant",7,"no","no","defendant","weak"
"near","defendant",1,"no","no","defendant","strong"
"near","plaintiff",6,"no","no","prosecutor","weak"
"far","plaintiff",6,"prosecutor","no","prosecutor","strong"
"near","defendant",2,"no","no","defendant","strong"
"near","defendant",3,"defendant","no","defendant","weak"
"near","defendant",7,"no","no","defendant","weak"
"near","plaintiff",8,"no","no","prosecutor","strong"
"far","defendant",6,"no","no","defendant","strong"
"near","defendant",4,"no","no","prosecutor","strong"
"near","defendant",2,"prosecutor","no","prosecutor","strong"
"near","plaintiff",7,"no","no","prosecutor","strong"
"far","plaintiff",7,"defendant","no","prosecutor","weak"
"near","plaintiff",7,"prosecutor","yes","prosecutor","weak"
"near","plaintiff",6,"prosecutor","no","defendant","weak"
"near","plaintiff",2,"prosecutor","no","defendant","weak"
"far","defendant",8,"prosecutor","no","defendant","strong"
"near","defendant",2,"no","no","defendant","strong"
"near","defendant",5,"no","no","prosecutor","weak"
"near","plaintiff",1,"prosecutor","no","prosecutor","weak"
"far","defendant",5,"prosecutor","no","defendant","strong"
"far","defendant",7,"no","no","defendant","strong"
