"distance","choice","confidence","bias","language_perspective","language_evidence","question_orientation","experience"
"near","plaintiff",5,"no","prosecutor","weak","defendant_choice_up","no"
"far","plaintiff",8,"prosecutor","defendant","strong","defendant_choice_down","no"
"far","plaintiff",8,"no","prosecutor","strong","defendant_choice_down","no"
"far","plaintiff",7,"no","prosecutor","strong","defendant_choice_down","no"
"far","plaintiff",5,"no","defendant","strong","defendant_choice_down","no"
"far","plaintiff",5,"no","prosecutor","strong","defendant_choice_up","no"
"far","plaintiff",3,"defendant","defendant","strong","defendant_choice_down","yes"
"near","defendant",7,"no","prosecutor","weak","defendant_choice_up","no"
"far","plaintiff",8,"no","prosecutor","strong","defendant_choice_up","no"
"near","plaintiff",7,"prosecutor","prosecutor","weak","defendant_choice_down","no"
"far","plaintiff",5,"no","prosecutor","weak","defendant_choice_down","no"
"far","plaintiff",6,"prosecutor","defendant","weak","defendant_choice_up","no"
"far","plaintiff",6,"prosecutor","prosecutor","weak","defendant_choice_up","no"
"near","plaintiff",9,"no","prosecutor","strong","defendant_choice_down","no"
"far","defendant",8,"no","defendant","strong","defendant_choice_down","no"
"far","plaintiff",5,"no","prosecutor","strong","defendant_choice_down","no"
"far","plaintiff",7,"prosecutor","prosecutor","strong","defendant_choice_up","yes"
"far","defendant",3,"prosecutor","prosecutor","weak","defendant_choice_down","no"
"near","defendant",6,"no","defendant","strong","defendant_choice_up","no"
"far","plaintiff",4,"no","defendant","weak","defendant_choice_up","no"
"near","defendant",6,"prosecutor","defendant","weak","defendant_choice_up","no"
"near","defendant",6,"defendant","defendant","strong","defendant_choice_up","no"
"near","plaintiff",7,"no","defendant","weak","defendant_choice_down","no"
"near","plaintiff",5,"no","prosecutor","weak","defendant_choice_down","no"
"far","defendant",7,"no","defendant","strong","defendant_choice_up","no"
"far","plaintiff",8,"no","prosecutor","strong","defendant_choice_up","no"
"far","plaintiff",5,"no","defendant","weak","defendant_choice_down","no"
"near","plaintiff",7,"no","defendant","strong","defendant_choice_down","no"
"near","defendant",7,"no","defendant","weak","defendant_choice_up","no"
"far","plaintiff",9,"prosecutor","prosecutor","weak","defendant_choice_down","no"
"far","plaintiff",7,"prosecutor","defendant","weak","defendant_choice_down","no"
"far","plaintiff",6,"no","defendant","weak","defendant_choice_up","no"
"far","plaintiff",4,"no","defendant","weak","defendant_choice_up","no"
"far","defendant",5,"no","defendant","weak","defendant_choice_up","no"
"far","defendant",6,"no","defendant","strong","defendant_choice_down","yes"
"far","defendant",5,"prosecutor","defendant","weak","defendant_choice_up","no"
"near","plaintiff",7,"prosecutor","prosecutor","weak","defendant_choice_up","no"
"near","defendant",5,"no","defendant","weak","defendant_choice_up","no"
"far","plaintiff",5,"no","prosecutor","weak","defendant_choice_down","no"
"near","defendant",7,"prosecutor","defendant","weak","defendant_choice_down","no"
"near","defendant",3,"prosecutor","defendant","weak","defendant_choice_down","no"
"far","plaintiff",8,"no","prosecutor","weak","defendant_choice_up","yes"
"near","defendant",6,"defendant","defendant","strong","defendant_choice_down","no"
"far","defendant",6,"no","defendant","weak","defendant_choice_up","no"
"near","defendant",3,"prosecutor","defendant","strong","defendant_choice_down","yes"
"far","defendant",7,"no","defendant","weak","defendant_choice_down","no"
"far","defendant",5,"no","prosecutor","strong","defendant_choice_up","no"
"near","defendant",6,"prosecutor","defendant","strong","defendant_choice_up","no"
"far","plaintiff",7,"no","prosecutor","weak","defendant_choice_down","no"
"near","plaintiff",7,"no","defendant","strong","defendant_choice_up","no"
"near","plaintiff",6,"prosecutor","prosecutor","weak","defendant_choice_down","no"
"near","defendant",6,"no","defendant","weak","defendant_choice_down","no"
"near","defendant",7,"prosecutor","defendant","strong","defendant_choice_down","no"
